,aspect,opinion,negative,neutral,positive
77,Customer service,not always right,1,0,0
78,Attitude,snooty,1,0,0
79,Bartenders,Great attentive,0,0,1
80,Drinks,excellent,0,0,1
81,Atmosphere,fun,0,0,1
82,Drinks,Tasty,0,0,1
83,Fun,fun,0,0,1
84,Location,Love the location,0,0,1
85,Atmosphere,very cool,0,0,1
86,Crowd,great,0,0,1
87,Drinks,interesting,0,0,1
88,Punch bowls,Id recommend getting,0,0,1
89,Overall satisfaction,highly rated bar,0,0,1
90,Speakeasy style,works well,0,0,1
91,Ambiance,warm and welcoming,0,0,1
92,Crowdedness,very crowded around the bar area,1,0,0
93,Booze selection,awesome selection of booze,0,0,1
94,Whiskey selection,awesome selection of whiskeys,0,0,1
95,Beer selection,good beer selections,0,0,1
96,Overall satisfaction,The place is great I love their house drinks,0,0,1
97,Ambiance,The ambience is also good you feel at home,0,0,1
98,Drinks,Fantastic,0,0,1
99,Crowds,The place was absolutely packed when we visited Rickhouse,1,0,0
100,Staff,staff made every effort to be attentive and complete with their hospitality,0,0,1
101,Bar,amazing back bar with about every spirit you can imagine,0,0,1
102,Bartenders,highly skilled bartenders,0,0,1
103,Rickhouse,a San Francisco landmark not to be missed if you are a cocktail enthusiast,0,0,1
104,Selection,Great,0,0,1
105,Prices,fair,0,0,1
106,Ambiance,The 2 floors really give it a good vibe,0,0,1
107,Getting in,Sometimes when Im feeling feisty Ill squeeze my way past the doorman into Rickhouse and pray to the drink gods that I find a spot at the bar,1,0,0
108,Cocktail specials,Definitely try out some of their cocktail specials,0,0,1
109,Value for money,Its worth it. Trust me,0,0,1
110,Service,bartenders were on top of things,0,0,1
111,Atmosphere,Great atmosphere,0,0,1
112,Decor,Great decor,0,0,1
113,The FiDi,"good for banking, corporate players, being close to Union Square and hotels",0,0,1
114,The FiDi,cool,0,0,1
115,Rickhouse,amazing bar,0,0,1
116,Atmosphere,like an old Western saloon/speakeasy combo,0,0,1
117,Bartenders,"dressed in their speakeasy best with vests, ties, and rolled up shirts",0,0,1
118,Mixologists,"asked what liquors I liked or felt like (rum) and if I like citrus (yes) then, made me something fantastic that I cant pronounce",0,0,1
119,Punch,serve punch in real ceramic punch bowls and cups,0,0,1
120,Crowd,"crowded, so I can imagine on the weekends, its probably incredibly hard to get into or crowded or both",1,0,0
121,Live music,you get live music with a nostalgic ambience,0,0,1
122,Cocktail,La Bonne Vie with a basil leaf,0,0,1
123,Ambiance,dim-lit romantic ambience with bluesy-soulsy music,0,0,1
124,Atmosphere,Great atmosphere,0,0,1
125,Crowd,Great crowd,0,0,1
126,Music,Great music,0,0,1
127,Drinks,Great drinks,0,0,1
128,Interior,"Dark, wooden interior. Extremely cool",0,0,1
129,Ambiance,Upstairs is nice to people watch,0,0,1
130,Decor,love this place,0,0,1
131,Vibe,love this place,0,0,1
132,Clientele,maybe not so much the clientele as it attracts the afterwork FiDi crowd,1,0,0
133,Cocktails,tasty,0,0,1
134,Area,cant be beat in the area,0,0,1
135,Cocktails,great,0,0,1
136,Upstairs,nice,0,0,1
137,The bar in the back,smaller beer selection,1,0,0
138,Rickhouse,"Quality and creative cocktails, hard working staff tending bar, and a great location",0,0,1
139,Happy hour,crowded,1,0,0
140,Acoustics,bad,1,0,0
141,First date,NOT a good spot,1,0,0
142,Bar,Really awesome,0,0,1
143,Crowded and loud,Very crowded and loud,1,0,0
144,Place,fun place to go,0,0,1
145,Drinks,good drinks,0,0,1
146,Ease of entry,you wont need any passwords or reservations to get in,0,0,1
147,Bartenders,makes some of the best drinks in town,0,0,1
148,Cocktail menu,huge menu of cocktails that has practically everything in it,0,0,1
149,Scotch and whiskey selection,fantastic selection,0,0,1
150,Live music,on saturdays!!!,0,0,1
151,Crowds,"As long as you're there when the place is (literally) overflowing with Financial District Happy Hour crew isnt, expect a great selection of well prepared cocktails",0,0,1
152,Atmosphere,Nice,0,0,1
153,Live music,on weekdays,0,0,1
154,Mixed drinks,damn delicious,0,0,1
155,Speed of service,Might take a while to get that mixed drink,1,0,0
156,Overall satisfaction,i love this place,0,0,1
157,Ambiance,"dark, atmospheric with great decor",0,0,1
158,Cocktails,great cocktails,0,0,1
159,Music,great music,0,0,1
160,Bar,great bar,0,0,1
161,Drinks,Great speakeasy type drinks,0,0,1
162,Vibe,overall vibe,0,0,1
163,Bartenders,definitely know what they are doing,0,0,1
164,Crowd,place gets packed,1,0,0
165,Speed of service,each drink can take awhile to make,1,0,0
166,Appearance,fancy-looking,0,0,1
167,Wait staff,in character,0,0,1
168,Bourbon and Branch,enjoyed a bit more,0,0,1
169,Rye,enjoyed a bit more,0,0,1
170,Cocktails,Excellent,0,0,1
171,Price,reasonable,0,0,1
172,Crowds,Can get a bit crowded,1,0,0
173,Speed of service,drinks do take a while,1,0,0
174,Overall experience,fully worth it,0,0,1
