,aspect,opinion,mixed,negative,positive
53,Menu,Small menu with lots of care,0,0,1
54,Reservations,Make sure you make a reservation if you plan on coming in for dinner,0,0,1
55,Location,It's a small spot in the Castro,0,0,1
56,Value for money,definetly worth trying if you enjoy food,0,0,1
57,Food,variety of food,0,0,1
58,Food,culturally authentic about any of their dishes,0,1,0
59,Food,good job with their fusion efforts,0,0,1
60,Staff,really friendly,0,0,1
61,Seating area,love the seating area in the back,0,0,1
62,Weather,when the weather isn't conducive,0,1,0
63,Dining experience,good dining experience,0,0,1
64,Atmosphere,awesome,0,0,1
65,Food,lackluster,0,1,0
66,Service,lackluster,0,1,0
67,Back patio,quasi-outdoor back patio,0,0,1
68,Beers,Love the beers,0,0,1
69,Pizza,Love the pizza,0,0,1
70,Bartender,Sort of love the bartender,0,0,1
71,Prices,And only generally happy with the prices,0,1,0
72,Food,Very good food,0,0,1
73,Hamburger,try the hamburger,0,0,1
74,Pizza,any pizza,0,0,1
75,Paté,don't forget the paté,0,0,1
76,Service,it's impossible to get the waitresses attention,0,1,0
77,Hours,"if you get there, let's say... at 4:50; they won't give you the menu because they serve dinner exactly at 5:00",0,1,0
78,Service,could be better,0,1,0
79,Food,Delicious food,0,0,1
80,Crowd,entertaining crowd,0,0,1
81,Order,"No matter what I order, I am always delighted",0,0,1
82,Food,"great, hearty San Francisco style brunch",0,0,1
83,Ambiance,cool vibe,0,0,1
84,Service,relatively easy to get a table for Brunch,0,0,1
85,Extras,they brought us an appetizer as a treat,0,0,1
86,Overall satisfaction,I love this spot,0,0,1
87,Decor,"very trendy, comfortable",0,0,1
88,Food,"elaborate, mix of flavors is so unique",0,0,1
89,Staff,super friendly,0,0,1
90,Availability,you can always find a chair or table available,0,0,1
91,"Brunch, lunch or dinner",you won't be disappointed,0,0,1
92,Wine and beer selection,very good,0,0,1
93,Recommendation,I recommend to many people,0,0,1
94,Customer service,"Will Starbelly do the right thing? So far, they have failed even to return my two phone calls, so I am concerned about Starbelly's customer service.",0,1,0
95,An unfortunate accident,"occurred when a buser knocked my prescription glasses (which were on the table in front of me) to the floor, where they were crushed by someone stepping on them.",0,1,0
96,I have explained the situation to a Starbelly manager.,But Starbelly has not cared even to respond to me.,0,1,0
97,New American spot,Great little,0,0,1
98,Near the lively Castro district,lively,0,0,1
99,I've been here a few times with groups of friends,friends,0,0,1
100,"We split a bunch of dishes, family style",family style,0,0,1
101,"We split a couple pizzas, pate, and spaghetti (yum!)",yum,0,0,1
102,"There's a nice little selection of beers, wines and cocktails as well",nice little selection,0,0,1
103,I like the refreshing Pimm's cup,refreshing,0,0,1
104,Waiting time,40 minutes waiting,0,1,0
105,Communication,no proactive comms that food ticket was lost,0,1,0
106,Price,Plus points for taking $11 of the cheque,0,0,1
107,Portion size,Minus points for small portions,0,1,0
108,Overall experience,Not a good experience,0,1,0
109,Reservations,They don't take reservations,0,1,0
110,Wait list,You can call 1 hour ahead to get on the wait list on busy nights,0,0,1
111,Brunch,absolute gem,0,0,1
112,Dinner,absolute gem,0,0,1
113,Availability,I've always been able to get a table,0,0,1
114,Selection,It's hard to go wrong here,0,0,1
115,Beers on tap,great selection of unique beers,0,0,1
116,Dynamo Donut,supplement your meal,0,0,1
117,Starbelly pizza,try the Starbelly pizza,0,0,1
118,Eggs on a pizza,who knew?,0,0,1
119,Overall satisfaction,"started off fantastic, but sometimes recently it hasn't been as good as I remember it",0,1,0
120,Plates,a little more disconnected,0,1,0
121,Pizza,Great,0,0,1
122,Dessert,Great,0,0,1
123,Food,Great food,0,0,1
124,Service,good service,0,0,1
125,Location,good location,0,0,1
126,Price,Far too expensive,0,1,0
127,Food and wine,offered,0,0,1
128,Food,great,0,0,1
129,Service,"recently improved, but still drags the experience down somewhat",0,1,0
130,Atmosphere,otherwise great,0,0,1
131,Gourmet pizzas,"one of the best (Butternut squash, sage, and goat cheese)",0,0,1
132,Service,attentive,0,0,1
133,Ambiance,"relaxed, comfortable",0,0,1
134,Buretta,wonderful,0,0,1
135,Food,everything is ABSOLUTELY delicious,0,0,1
136,Overall satisfaction,Starbelly is fantastic,0,0,1
137,Interior,nice interior,0,0,1
138,Seating,good seating,0,0,1
139,Food,uniformly good,0,0,1
140,Pretension,"kind of pretentious, but kind of trying not to be",1,0,0
141,Accessibility,accessible food,0,0,1
142,Owner,cares about beer,0,0,1
143,Beer selection,15 great ones that go with the food,0,0,1
144,Pabst phenomenon,stand against the Pabst phenomenon in this town,0,0,1
145,Slaw sandwich,comin',0,0,1
