,aspect,opinion,disappointed,mixed,negative,positive
77,Crowd,Screaming kids running arround and crying,0,0,1,0
78,Overall satisfaction,love this place,0,0,0,1
79,Overall satisfaction,This place isnt the place for someone with a sense of taste,0,0,1,0
80,Food,I understand its a buffet but really. Fricken ridiculous,0,0,1,0
81,Food,"One of the best places to indulge in Gluttony, All kinds of food even F!@#ing cotton candy, so if you like eating youre self into a stupor look no further",0,0,0,1
82,Pork steaks,try there pork steaks,0,0,0,1
83,Popcorn shrimp,try there pork steaks and popcorn shrimp,0,0,0,1
84,Restrooms,condition of the restrooms as well as the quality of the food,1,0,0,0
85,Food,not properly rotated nor were there any fresher dishes put out,0,0,1,0
86,Quality,very substandard,0,0,1,0
87,Mens restroom,very disgusting,0,0,1,0
88,Manager,seemed to not care about it and just closed his door,0,0,1,0
89,Overall satisfaction,HORRIBLE,0,0,1,0
90,Value for money,price,0,0,1,0
91,Flatware,food still on it,0,0,1,0
92,Self seating,had to ask to have a table cleaned,0,0,1,0
93,Food,cold and some undercooked,0,0,1,0
94,Staffing,understaffed,0,0,1,0
95,Steak,great,0,0,0,1
96,Cleanliness,The place was dirty,0,0,1,0
97,Service,servers were overworked,0,0,1,0
98,Refills,It took forever for someone to ask us for a refill,0,0,1,0
99,Plates,no one picked up our used plates till the end of the meal,0,0,1,0
100,Lobster tail,premium item it felt microwaved and rubbery,0,0,1,0
101,Price,$12 per person price definitely wasnt worth the quality and selection of food you get,0,0,1,0
102,News,spoil food,0,0,1,0
103,Line,long line,0,0,1,0
104,Temperature,very hotter out,0,0,1,0
105,Food,"cold, or not the quality they advertised. Id tasted better at Hometown, and theyre just as bad. Management needs to look into what is actually being served. Its sad to say, but I was completely disappointed.",0,0,1,0
106,Price,"15+ for each adult, and then paying for drinks... The steaks were burned or over cooked and dried out. I dont get it.... doesnt corporate care?",0,0,1,0
107,Ambiance,"Imagine waiting in a line for over 2 hours, then getting corralled into a small booth. Ill never take my family to eat there again.",0,0,1,0
108,Service,"My son assaulted by a lady trying to get to the ice cream, after my son had stood in the line (AGAIN!) for 20min. WHAT!",0,0,1,0
109,Price,Reasonable,0,0,0,1
110,Food,very good fresh food,0,0,0,1
111,Location,fairly convenient,0,0,0,1
112,Service,above average,0,0,0,1
113,Building,"old, and not very clean",0,0,1,0
114,Hometown Buffet,I ate trash and never knew I couldve eaten delicious entrees at Golden Corral,0,0,1,0
115,Golden Corral,"When I visited the restaurant for the first time, I was blown away by how LAVISH the place was. This place is absolutely perfect. Golden Corral sets the standards for buffets from now on for me",0,0,0,1
116,Food,Horrible food,0,0,1,0
117,Price,very pricey,0,0,1,0
118,Management,management isnt very considerate at all,0,0,1,0
119,Waiting time,Long line,0,0,1,0
120,Waiting time,"long lines, like hours of waiting, which is the only thing consistent and constant",0,0,1,0
121,Food quality,"decent but of a cheapy buffet, but it is like mass produced bland food that was just meh",0,0,1,0
122,Dishes and utensils,"The dishes and utensils were not clean, at times they were still wet and in a pool of dish washing water",0,0,1,0
123,Service,"Service was pretty poor, they probably would have had better service if the drinks were self served, and focus on clean up during peak hours",0,0,1,0
124,Food quality,better than hometown buffet,0,0,0,1
125,Price,competitive,0,0,0,1
126,Ambiance,"crowded cluster f#@# atmosphere, the insanely high noise level and just annoyance of the place",0,0,1,0
127,Experience,better at the golden corrals in texas,0,0,0,1
128,Food,enjoyed the food and selection,0,0,0,1
129,Line,long but the food was very good,0,0,0,1
130,Food,Good,0,0,0,1
131,Buffet,Long line though,0,0,1,0
132,Variety,The best time to eat there is either on weekends at breakfast time or dinner time. I find at lunch time the variety isnt good.,0,0,1,0
133,Pork steaks,"They discontinued the pork steaks at lunch time, but will serve chicken wings of all different kinds or they will serve you crab cakes or sliders.",0,0,1,0
134,Liver and onions,"They will serve liver and onions, but how many people are going to eat liver and onions. They may as well serve limburger cheese and fruit cake.",0,0,1,0
135,Restrooms,The restrooms can use cleaning and you have to wait in long lines.,0,0,1,0
136,Overall satisfaction,Very nice,0,0,0,1
137,Food,excellent food I love it,0,0,0,1
138,Atmosphere,Awesome,0,0,0,1
139,Service,Good,0,0,0,1
140,Food,Good quality,0,0,0,1
141,Waiting time,1 to 2 hours out in the scorching heat,0,0,1,0
142,Food availability,after six oclock they don't make anymore food,0,0,1,0
143,Food quality,all cold,0,0,1,0
144,Service,night service sucks,0,0,1,0
145,Restaurant hours,close at 9:30,0,0,1,0
146,Server attitude,Andrew our server was helpful at all at times I thought we were being disrespected,0,0,1,0
147,Overall satisfaction,love it,0,0,0,1
148,Overall satisfaction,I heat this places,0,0,1,0
149,Food,excellent,0,0,0,1
150,Staff,take very good care of us,0,0,0,1
151,Food,fresh,0,0,0,1
152,Containers,kept filled,0,0,0,1
153,Steaks,cooked fresh my way,0,0,0,1
154,Shrimp or fish,cooked fresh my way,0,0,0,1
155,One closer to where I live,I only wish they would build one,0,0,1,0
156,Staff,barely spoke English,0,0,1,0
157,Kids,crazy illegal kids running around stick their hands in the food,0,0,1,0
158,Floor and silverware,dirty,0,0,1,0
159,Restaurant,Disgusting,0,0,1,0
160,Food,The food was ok,0,0,1,0
161,Staff,The staff was really great and friendly though,0,0,0,1
162,Food,Good food,0,0,0,1
163,Waiting time,at least 30 minutes an hour to go in,0,0,1,0
164,Overall satisfaction,This place is 100% better then hometown buffet,0,0,0,1
165,Overall satisfaction,truly satisfied,0,0,0,1
166,Food,delicious,0,0,0,1
167,Costumer service,good,0,0,0,1
168,Value for money,worth it,0,0,0,1
169,Dining experience,typical buffet dining. Nothing really stands out,0,0,1,0
170,Restaurant cleanliness,pretty clean the times I went,0,0,0,1
171,Silverware,watch the silverware,0,0,1,0
172,Entrees,"Many of the entrees arent very good, but there are some gems, like the sliders",0,1,0,0
173,Overall satisfaction,Worth every penny,0,0,0,1
174,Waiting time,Worth the wait,0,0,0,1
175,Overall satisfaction,good experience,0,0,0,1
176,Cleanliness,clean,0,0,0,1
177,Staff,polite and friendly,0,0,0,1
178,Taste,no taste,0,0,1,0
179,Cooks,need better cooks,0,0,1,0
180,Staff,friendly,0,0,0,1
181,Quality,better quality,0,0,0,1
182,Value for money,willing to pay for it,0,0,0,1
183,Location,only one in all of LA area,0,0,0,1
184,Food,excellent,0,0,0,1
185,Overall satisfaction,The best,0,0,0,1
186,Cleanliness,"It was the dirtiest place I have ever eaten. Food all over the floor, tables dirty, food on floor where food is prepared, garbage stacked up behind the serving areas, peelings from potatoes, lettuce leaves, carrot tops,etc all over the floor, kitchen worker was sweeping the floor of the food and then switched to cleaning around the food stations without washing hands, food was spilled all over the food serving areas, etc.",0,0,1,0
187,Food,I was not impressed and hope i dont get food poisoning.,0,0,1,0
188,Food,Great food,0,0,0,1
189,Service,Great service,0,0,0,1
190,Waiters,lovely waiters,0,0,0,1
191,Recommendation,recommend anytime,0,0,0,1
192,Overall satisfaction,Best place to have a buffet,0,0,0,1
193,Price,good price,0,0,0,1
194,Food,awesome food,0,0,0,1
195,Golden Corral,We had a blast! Thank you,0,0,0,1
196,Food,Good food,0,0,0,1
197,Customer service,Seem to be keeping up with customer service,0,0,0,1
198,Clearing and cleaning tables,well,0,0,0,1
199,Food,delicious,0,0,0,1
200,Food,very good,0,0,0,1
201,I,I,0,0,0,1
202,Golden Corral in Colorado,best buffet I have ever been too,0,0,0,1
203,Recommendation,personally recommend it,0,0,0,1
